Name,Sweep (T1),,,
Date,07/18/2025,,,
Time,19:31:55,,,
GPS Latitude,- - -,,,
GPS Longitude,- - -,,,
GPS Altitude,- - -,,,
Instrument,FSH8 - 116915/008,,,
Firmware Version,V3.60,,,
Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,
Uplink,- - -,,,
Downlink,- - -,,,
Channel,- - -,,,
Center Frequency,4000004500,Hz,,
Frequency Offset,0,Hz,,
Span,7999991000,Hz,,
Ref Level,10,dBm,,
Ref Offset,40,dB,,
Ref Position,0.9 ,,,
Range,100,dB,,
RF Attenuation,Manual,,,
RF Attenuator,0,dB,,
Pre-Amplifier,On,,,
RF Input,50 Ω,,,
RBW,100000,Hz,,
VBW,10000,Hz,,
SWT,20,s,,
Trigger Mode,Free Run,,,
Trigger Level,- - -,,,
Trigger Delay,- - -,,,
Trace Mode,Max Hold,,,
Trace Math,Off,,,
Trace Detector,Max Peak,,,
Primary Transducer,- - -,,,
Secondary Transducer,- - -,,,
Gated Trigger,Off,,,
Gate Mode,Edge,,,
Gate Delay,0,s,,
Gate Length,0.0004,s,,
Isotropic Antenna,Off,,,
Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,

Frequency [Hz],Magnitude [dBm],,,
9000,4.884765625,,,
12707398.4126984,4.884765625,,,
25405796.8253968,-34.3297424316406,,,
38104195.2380952,-68.4434814453125,,,
50802593.6507936,-65.6794128417969,,,
63500992.0634921,-68.8624877929688,,,
76199390.4761905,-67.2786254882813,,,
88897788.8888889,-60.4763793945313,,,
101596187.301587,-41.2370910644531,,,
114294585.714286,-71.1312866210938,,,
126992984.126984,-64.5001220703125,,,
139691382.539683,-71.9147415161133,,,
152389780.952381,-72.1199035644531,,,
165088179.365079,-71.1031723022461,,,
177786577.777778,-71.1745071411133,,,
190484976.190476,-70.7242965698242,,,
203183374.603175,-69.56298828125,,,
215881773.015873,-71.444938659668,,,
228580171.428571,-68.6067504882813,,,
241278569.84127,-72.2087936401367,,,
253976968.253968,-71.5429534912109,,,
266675366.666667,-72.0674285888672,,,
279373765.079365,-71.4953460693359,,,
292072163.492063,-72.1865158081055,,,
304770561.904762,-71.644287109375,,,
317468960.31746,-68.6682891845703,,,
330167358.730159,-71.5304870605469,,,
342865757.142857,-72.47607421875,,,
355564155.555556,-71.462890625,,,
368262553.968254,-69.5990219116211,,,
380960952.380952,-71.8268966674805,,,
393659350.793651,-71.8827514648438,,,
406357749.206349,-71.2902984619141,,,
419056147.619048,-71.2196655273438,,,
431754546.031746,-71.8603515625,,,
444452944.444444,-71.249626159668,,,
457151342.857143,-70.2111968994141,,,
469849741.269841,-71.3661422729492,,,
482548139.68254,-71.6495895385742,,,
495246538.095238,-72.3754425048828,,,
507944936.507936,-69.6065902709961,,,
520643334.920635,-71.8561706542969,,,
533341733.333333,-71.7438049316406,,,
546040131.746032,-72.0628128051758,,,
558738530.15873,-71.7310256958008,,,
571436928.571429,-71.5081024169922,,,
584135326.984127,-72.1515731811523,,,
596833725.396825,-72.0198059082031,,,
609532123.809524,-72.3062896728516,,,
622230522.222222,-69.0670623779297,,,
634928920.634921,-72.3217391967773,,,
647627319.047619,-71.3598022460938,,,
660325717.460317,-71.6273651123047,,,
