Name,Sweep (T1),,,
Date,07/18/2025,,,
Time,21:40:58,,,
GPS Latitude,- - -,,,
GPS Longitude,- - -,,,
GPS Altitude,- - -,,,
Instrument,FSH8 - 116915/008,,,
Firmware Version,V3.60,,,
Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,
Uplink,- - -,,,
Downlink,- - -,,,
Channel,- - -,,,
Center Frequency,4000004500,Hz,,
Frequency Offset,0,Hz,,
Span,7999991000,Hz,,
Ref Level,10,dBm,,
Ref Offset,40,dB,,
Ref Position,0.9 ,,,
Range,100,dB,,
RF Attenuation,Manual,,,
RF Attenuator,0,dB,,
Pre-Amplifier,On,,,
RF Input,50 Ω,,,
RBW,100000,Hz,,
VBW,10000,Hz,,
SWT,20,s,,
Trigger Mode,Free Run,,,
Trigger Level,- - -,,,
Trigger Delay,- - -,,,
Trace Mode,Max Hold,,,
Trace Math,Off,,,
Trace Detector,Max Peak,,,
Primary Transducer,- - -,,,
Secondary Transducer,- - -,,,
Gated Trigger,Off,,,
Gate Mode,Edge,,,
Gate Delay,0,s,,
Gate Length,0.0004,s,,
Isotropic Antenna,Off,,,
Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,

Frequency [Hz],Magnitude [dBm],,,
9000,4.91421890258789,,,
12707398.4126984,4.91421890258789,,,
25405796.8253968,-41.8621292114258,,,
38104195.2380952,-69.5000381469727,,,
50802593.6507936,-64.2537536621094,,,
63500992.0634921,-71.0794525146484,,,
76199390.4761905,-64.71728515625,,,
88897788.8888889,-60.6506576538086,,,
101596187.301587,-31.7635498046875,,,
114294585.714286,-70.8349838256836,,,
126992984.126984,-71.2248382568359,,,
139691382.539683,-72.1053924560547,,,
152389780.952381,-71.4456787109375,,,
165088179.365079,-71.971565246582,,,
177786577.777778,-71.4877243041992,,,
190484976.190476,-70.0120544433594,,,
203183374.603175,-71.8352661132813,,,
215881773.015873,-71.4182815551758,,,
228580171.428571,-72.0854797363281,,,
241278569.84127,-71.3448333740234,,,
253976968.253968,-71.4798889160156,,,
266675366.666667,-71.8853759765625,,,
279373765.079365,-71.8440933227539,,,
292072163.492063,-72.2356338500977,,,
304770561.904762,-71.9214630126953,,,
317468960.31746,-70.7249603271484,,,
330167358.730159,-71.6597061157227,,,
342865757.142857,-71.3189468383789,,,
355564155.555556,-70.2930679321289,,,
368262553.968254,-69.892333984375,,,
380960952.380952,-69.0853881835938,,,
393659350.793651,-68.3517456054688,,,
406357749.206349,-70.3833465576172,,,
419056147.619048,-71.2238006591797,,,
431754546.031746,-71.4863204956055,,,
444452944.444444,-71.7022323608398,,,
457151342.857143,-67.4390335083008,,,
469849741.269841,-70.7832260131836,,,
482548139.68254,-68.0808944702148,,,
495246538.095238,-71.6040878295898,,,
507944936.507936,-71.68359375,,,
520643334.920635,-71.2539749145508,,,
533341733.333333,-71.8140487670898,,,
546040131.746032,-71.8746566772461,,,
558738530.15873,-72.1907958984375,,,
571436928.571429,-71.6605758666992,,,
584135326.984127,-71.3044815063477,,,
596833725.396825,-71.4601821899414,,,
609532123.809524,-71.8444442749023,,,
622230522.222222,-69.4967041015625,,,
634928920.634921,-72.1133422851563,,,
647627319.047619,-67.775520324707,,,
660325717.460317,-71.8751983642578,,,
